epoch 0, time: 240.91
	train_loss: 10.260, score: 34.932
	eval loss: 4.626, score: 42.770 (92.661)
epoch 1, time: 240.09
	train_loss: 4.478, score: 43.928
	eval loss: 4.187, score: 48.014 (92.662)
epoch 2, time: 242.55
	train_loss: 4.108, score: 48.655
	eval loss: 3.941, score: 51.467 (92.661)
epoch 3, time: 240.41
	train_loss: 3.880, score: 52.026
	eval loss: 3.795, score: 54.009 (92.661)
epoch 4, time: 238.52
	train_loss: 3.704, score: 54.677
	eval loss: 3.706, score: 55.721 (92.661)
epoch 5, time: 240.98
	train_loss: 3.569, score: 56.815
	eval loss: 3.613, score: 57.308 (92.661)
epoch 6, time: 239.60
	train_loss: 3.456, score: 58.547
	eval loss: 3.574, score: 58.351 (92.662)
epoch 7, time: 239.74
	train_loss: 3.359, score: 60.035
	eval loss: 3.540, score: 59.064 (92.661)
epoch 8, time: 241.94
	train_loss: 3.272, score: 61.471
	eval loss: 3.495, score: 59.549 (92.661)
epoch 9, time: 245.09
	train_loss: 3.196, score: 62.695
	eval loss: 3.484, score: 60.406 (92.661)
epoch 10, time: 245.09
	train_loss: 3.127, score: 63.822
	eval loss: 3.463, score: 60.801 (92.661)
epoch 11, time: 240.53
	train_loss: 3.064, score: 64.940
	eval loss: 3.473, score: 61.118 (92.661)
epoch 12, time: 246.37
	train_loss: 3.004, score: 65.971
	eval loss: 3.440, score: 61.332 (92.661)
epoch 13, time: 246.12
	train_loss: 2.950, score: 66.866
	eval loss: 3.446, score: 61.473 (92.661)
epoch 14, time: 244.15
	train_loss: 2.904, score: 67.654
	eval loss: 3.454, score: 61.743 (92.661)
epoch 15, time: 248.17
	train_loss: 2.853, score: 68.548
	eval loss: 3.446, score: 61.885 (92.662)
epoch 16, time: 243.28
	train_loss: 2.808, score: 69.392
	eval loss: 3.470, score: 61.997 (92.661)
epoch 17, time: 244.01
	train_loss: 2.766, score: 70.079
	eval loss: 3.511, score: 61.761 (92.661)
epoch 18, time: 244.83
	train_loss: 2.727, score: 70.747
	eval loss: 3.465, score: 62.228 (92.661)
epoch 19, time: 246.16
	train_loss: 2.690, score: 71.460
	eval loss: 3.471, score: 62.338 (92.662)
epoch 20, time: 242.81
	train_loss: 2.653, score: 72.096
	eval loss: 3.512, score: 62.412 (92.661)
epoch 21, time: 244.46
	train_loss: 2.618, score: 72.663
	eval loss: 3.508, score: 62.432 (92.661)
epoch 22, time: 243.38
	train_loss: 2.587, score: 73.259
	eval loss: 3.509, score: 62.547 (92.661)
epoch 23, time: 241.42
	train_loss: 2.557, score: 73.731
	eval loss: 3.523, score: 62.507 (92.662)
epoch 24, time: 242.67
	train_loss: 2.526, score: 74.297
	eval loss: 3.547, score: 62.629 (92.662)
epoch 25, time: 243.22
	train_loss: 2.498, score: 74.732
	eval loss: 3.566, score: 62.594 (92.662)
epoch 26, time: 245.20
	train_loss: 2.473, score: 75.172
	eval loss: 3.564, score: 62.624 (92.661)
epoch 27, time: 241.05
	train_loss: 2.445, score: 75.690
	eval loss: 3.573, score: 62.784 (92.662)
epoch 28, time: 240.97
	train_loss: 2.421, score: 76.036
	eval loss: 3.593, score: 62.687 (92.661)
epoch 29, time: 245.43
	train_loss: 2.399, score: 76.449
	eval loss: 3.587, score: 62.645 (92.661)
epoch 30, time: 242.51
	train_loss: 2.376, score: 76.833
	eval loss: 3.612, score: 62.572 (92.661)
epoch 31, time: 240.34
	train_loss: 2.352, score: 77.170
	eval loss: 3.614, score: 62.675 (92.662)
epoch 32, time: 245.77
	train_loss: 2.332, score: 77.571
	eval loss: 3.623, score: 62.764 (92.661)
epoch 33, time: 242.40
	train_loss: 2.311, score: 77.898
	eval loss: 3.644, score: 62.736 (92.661)
epoch 34, time: 242.43
	train_loss: 2.293, score: 78.167
	eval loss: 3.663, score: 62.838 (92.661)
epoch 35, time: 246.54
	train_loss: 2.272, score: 78.519
	eval loss: 3.702, score: 62.797 (92.661)
epoch 36, time: 246.95
	train_loss: 2.256, score: 78.773
	eval loss: 3.708, score: 62.790 (92.662)
epoch 37, time: 250.82
	train_loss: 2.235, score: 79.115
	eval loss: 3.718, score: 62.753 (92.661)
epoch 38, time: 248.46
	train_loss: 2.218, score: 79.339
	eval loss: 3.723, score: 62.924 (92.661)
epoch 39, time: 245.18
	train_loss: 2.201, score: 79.680
	eval loss: 3.757, score: 62.812 (92.662)
epoch 40, time: 249.53
	train_loss: 2.185, score: 79.897
	eval loss: 3.760, score: 62.864 (92.661)
epoch 41, time: 246.56
	train_loss: 2.170, score: 80.135
	eval loss: 3.769, score: 62.767 (92.661)
epoch 42, time: 248.57
	train_loss: 2.155, score: 80.301
	eval loss: 3.793, score: 62.779 (92.661)
epoch 43, time: 249.20
	train_loss: 2.139, score: 80.565
